Polling Station No,KARTHIK MOHAN,ROSHINI S,VIJAYAKUMAR S.R,ABDUL SHABEEK A,AJITHKUMAR A,AADHAV ARJUNA,ASHOK KUMAR C.A,ANBAZHAGAN G,KANNAN M,KANDASAMY S,KARTHICK S,KARTHICK P,SHANMUGA D,CHARAVANAN M.P,SOLOMON J.R,SUBRAMANI K,DHAYANIDHI D,DEVARAJAN G,BALAMURALI G,PURUSHOTHAMAN P,MANIMARAN P,MURALI R,MURALI VINODH M,YUVARAJ S,RAJI M,VIJAYAKUMAR G,VIJAYAKUMAR D,JAYA ZEBA C,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
143,166,17,31,0,0,226,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,3,445,0
144,179,49,50,0,1,226,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,3,510,0
145,123,9,32,1,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,311,0,2,313,1
146,98,1,25,4,0,156,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,288,0,1,289,0
147,138,10,28,2,1,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,321,0,1,322,0
148,ge120 2,9,58,0,1,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,390,0,0,390,0
149,163,31,60,0,0,348,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,607,0,2,609,0
150,178,19,57,0,0,295,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,557,0,0,557,0
151,276,12,94,0,1,403,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,791,0,4,795,1
152,135,14,62,0,1,227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,442,0,0,442,0
153,171,12,68,0,0,333,1,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,596,0,2,598,0
154,287,15,79,1,1,380,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,769,0,4,773,0
155,197,7,75,2,0,283,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,566,0
156,182,14,52,0,1,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,515,0,1,516,0
157,137,11,85,1,0,144,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,383,0,2,385,0
158,109,13,72,0,3,120,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,321,0,2,323,1
159,226,16,57,0,0,288,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,591,0,0,591,0
160,147,22,68,0,0,239,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,484,0,4,488,0
161,141,14,31,0,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,419,0,1,420,0
162,141,17,23,0,0,146,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,330,0,1,331,0
163,114,13,36,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,1,337,0
164,271,12,62,0,1,314,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,665,0,0,665,0
165,144,15,67,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,444,0,3,447,1
166,159,10,60,0,0,292,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,524,0,1,525,0
