Polling Station No,AADIRAJARAM,AYSHA,UDHAYANIDHI STALIN,MOHAMMED YASSER,IRFAN BASHA,SELVAM. D,AGNI AALVAR,ATHIMULAM,AYISHA,ARUMUGAM. C,KUMAR. M,SAAMY. S.K. DR,SEENIVASAN. L,SELVAM. K,SELVAM. K,SYEED LAYAK BHASHA,BHARATHKUMAR. G,MILANY. P,MIRZA SAFDER ALI,MOHAMED DHARIK. I,MOHAMED MEERA. A,RAJASEKAR. S,RAJESHKUMAR. K,VIJAYA KUMAR. B,SELVAM ( ALIAS ) VENKATESH,SELVAM ( ALIAS ) HARINARAYANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
155,43,8,235,1,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,429,0,6,435,0
156,32,9,404,1,0,127,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,576,0,1,577,0
157,45,15,422,2,2,232,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,722,0,0,722,0
158,34,14,357,0,0,190,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,1,0,604,0,1,605,0
159,17,6,285,0,1,134,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,446,0,0,446,0
160,24,21,248,1,0,207,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,4,0,0,0,510,0,1,511,0
161,22,13,250,1,1,184,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,475,0,1,476,0
162,24,11,177,2,1,78,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,2,298,0
163,19,6,225,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,353,0,1,354,0
164,73,16,226,0,0,309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,3,628,0
165,49,9,125,0,0,156,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,346,0,5,351,0
166,45,8,401,2,0,283,2,1,0,0,0,1,0,0,0,0,1,0,4,0,1,1,2,0,0,0,752,0,4,756,0
167,33,10,474,2,0,181,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,703,0,9,712,0
168,27,17,484,2,2,192,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,729,0,8,737,0
169,30,14,479,2,1,202,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,732,0,5,737,0
170,23,5,495,2,2,219,3,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,753,0,2,755,0
171,16,4,484,2,2,160,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,672,0,6,678,0
172,29,1,489,1,0,157,4,0,0,0,0,0,0,1,1,0,0,0,19,1,1,0,0,0,0,1,705,0,1,706,0
173,4,7,432,0,0,117,1,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,1,0,578,0,2,580,0
174,20,2,425,0,1,156,1,1,0,0,0,0,0,0,0,1,0,2,19,0,0,0,1,0,1,2,632,0,3,635,0
175,18,4,517,2,1,144,1,0,1,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,1,0,706,0,1,707,0
